In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	30699896	sfx_hatchet_reload_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_reload_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Reload\sfx_hatchet_reload_01		6147
	41969415	vo_killer_huntress_charge_120	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Huntress\vo_killer_huntress_charge_120_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Custom\Huntress_Charge\Huntress_Charge_Cue\vo_killer_huntress_charge_120		6770
	50667812	sfx_hatchet_swap_metal_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_swap_metal_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Swap_In\Hatchet_Swap_Metal\sfx_hatchet_swap_metal_01		6382
	65594838	vo_killer_huntress_throw_070	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Huntress\vo_killer_huntress_throw_070_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Custom\Huntress_Throw\Huntress_Throw\vo_killer_huntress_throw_070		5951
	76249483	vo_killer_huntress_hurt_038	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Huntress\vo_killer_huntress_hurt_038_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Grunt_Hurt\Grunt_Hurt_Huntress\Grunt_Hurt_Huntress\vo_killer_huntress_hurt_038		53283
	109037457	vo_killer_huntress_attack_045	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Huntress\vo_killer_huntress_attack_045_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Custom\Huntress_Attack\Huntress_Attack\vo_killer_huntress_attack_045		9988
	138021370	sfx_hatchet_special_hit_blood_04	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_special_hit_blood_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Special_Hit\Hatchet_Special_Hit_Blood\sfx_hatchet_special_hit_blood_04		14632
	144212933	vo_killer_huntress_attack_064	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Huntress\vo_killer_huntress_attack_064_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Custom\Huntress_Attack\Huntress_Attack\vo_killer_huntress_attack_064		9950
	155713582	vo_killer_huntress_throw_042	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Huntress\vo_killer_huntress_throw_042_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Custom\Huntress_Throw\Huntress_Throw\vo_killer_huntress_throw_042		6653
	176919211	sfx_hatchet_reload_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_reload_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Reload\sfx_hatchet_reload_05		74484
	223548014	sfx_hatchet_swap_metal_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_swap_metal_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Swap_In\Hatchet_Swap_Metal\sfx_hatchet_swap_metal_02		6934
	223914121	vo_killer_huntress_attack_047	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Huntress\vo_killer_huntress_attack_047_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Custom\Huntress_Attack\Huntress_Attack\vo_killer_huntress_attack_047		9029
	228088619	vo_killer_huntress_charge_113	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Huntress\vo_killer_huntress_charge_113_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Custom\Huntress_Charge\Huntress_Charge_Cue\vo_killer_huntress_charge_113		4949
	242849065	sfx_hatchet_charge_cue_04	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_charge_cue_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Charge_Cue\sfx_hatchet_charge_cue_04		9814
	262496892	sfx_hatchet_throw_loop_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_throw_loop_03_57FEB5FB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Throw\sfx_hatchet_throw_loop_03		6736
	276894654	sfx_hatchet_swap_blade_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_swap_blade_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Swap_Out\Hatchet_Swap_Blade\sfx_hatchet_swap_blade_02		3647
	282669086	sfx_hatchet_reload_blade_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_reload_blade_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Reload\Hatchet_Reload_Blade\sfx_hatchet_reload_blade_03		5181
	287093624	sfx_hatchet_reload_blade_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Hatchet\sfx_hatchet_reload_blade_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Hatchet\Hatchet_Reload\Hatchet_Reload_Blade\sfx_hatchet_reload_blade_01		5084
